,country,year,total_gdp,suicides_no,population,suicides_rate,gdp_per_capita
0,Albania,1987,2156624900,73,2709600,2.6941,795.92
1,Albania,1988,2126000000,63,2764300,2.2791,769.09
2,Albania,1989,2335124988,68,2803100,2.4259,833.05
3,Albania,1992,709452584,47,2822500,1.6652,251.36
4,Albania,1993,1228071038,73,2807300,2.6004,437.46
5,Albania,1994,1985673798,50,2849300,1.7548,696.9
6,Albania,1995,2424499009,88,2903400,3.0309,835.06
7,Albania,1996,3314898292,89,2940200,3.027,1127.44
8,Albania,1997,2359903108,170,2977300,5.7099,792.63
9,Albania,1998,2707123772,154,3012700,5.1117,898.57
10,Albania,1999,3414760915,139,3029700,4.5879,1127.1
11,Albania,2000,3632043908,54,2796300,1.9311,1298.87
12,Albania,2001,4060758804,119,2799349,4.251,1450.61
13,Albania,2002,4435078648,133,2818839,4.7183,1573.37
14,Albania,2003,5746945913,124,2843929,4.3602,2020.78
15,Albania,2004,7314865176,146,2874991,5.0783,2544.31
16,Albania,2005,8158548717,0,2783320,0.0,2931.23
17,Albania,2006,8992642349,0,2780176,0.0,3234.56
18,Albania,2007,10701011897,124,2770344,4.476,3862.7
19,Albania,2008,12881352688,160,2757059,5.8033,4672.14
20,Albania,2009,12044212904,0,2745735,0.0,4386.52
21,Albania,2010,11926953259,96,2736025,3.5087,4359.23
22,Antigua and Barbuda,1985,240923926,0,62574,0.0,3850.22
23,Antigua and Barbuda,1986,290440148,0,61270,0.0,4740.33
24,Antigua and Barbuda,1987,337174852,0,60261,0.0,5595.24
25,Antigua and Barbuda,1988,398637741,0,59564,0.0,6692.6
26,Antigua and Barbuda,1989,438794778,0,59238,0.0,7407.32
27,Antigua and Barbuda,1990,459469074,1,59334,1.6854,7743.77
28,Antigua and Barbuda,1991,481706333,0,60394,0.0,7976.06
29,Antigua and Barbuda,1992,499281148,0,61741,0.0,8086.7
30,Antigua and Barbuda,1993,535172778,1,63315,1.5794,8452.54
31,Antigua and Barbuda,1994,589429593,0,65044,0.0,9062.01
32,Antigua and Barbuda,1995,577280741,0,66846,0.0,8635.98
33,Antigua and Barbuda,1998,727860593,0,72225,0.0,10077.68
34,Antigua and Barbuda,1999,766198926,0,73832,0.0,10377.6
35,Antigua and Barbuda,2000,830158778,2,75326,2.6551,11020.88
36,Antigua and Barbuda,2001,800740259,2,76497,2.6145,10467.6
37,Antigua and Barbuda,2002,814615333,0,77588,0.0,10499.24
38,Antigua and Barbuda,2003,855643111,1,78658,1.2713,10878.02
39,Antigua and Barbuda,2004,919577148,2,79722,2.5087,11534.8
40,Antigua and Barbuda,2005,1022191296,0,80809,0.0,12649.47
41,Antigua and Barbuda,2006,1157005444,0,81973,0.0,14114.47
42,Antigua and Barbuda,2007,1311401333,1,83131,1.2029,15775.12
43,Antigua and Barbuda,2008,1368431037,0,84273,0.0,16238.07
44,Antigua and Barbuda,2009,1224253000,0,85405,0.0,14334.68
45,Antigua and Barbuda,2012,1211411704,0,88703,0.0,13656.94
46,Antigua and Barbuda,2013,1192925407,0,89779,0.0,13287.35
47,Antigua and Barbuda,2014,1280133333,0,90837,0.0,14092.64
48,Antigua and Barbuda,2015,1364863037,1,91889,1.0883,14853.39
49,Argentina,1985,88416668900,1988,27090800,7.3383,3263.72
50,Argentina,1986,111000000000,2284,27244400,8.3834,4074.23
51,Argentina,1987,111000000000,2286,27599400,8.2828,4021.83
52,Argentina,1988,126000000000,2354,28308000,8.3157,4451.04
53,Argentina,1989,76636898036,2247,28702000,7.8287,2670.09
54,Argentina,1990,141000000000,2140,29091100,7.3562,4846.84
55,Argentina,1991,190000000000,1951,29623000,6.5861,6413.94
56,Argentina,1992,229000000000,2184,30045400,7.269,7621.8
57,Argentina,1993,237000000000,2230,30477500,7.3169,7776.23
58,Argentina,1994,257000000000,2241,30911200,7.2498,8314.14
59,Argentina,1995,258000000000,2204,31345400,7.0313,8230.87
60,Argentina,1996,272000000000,2229,31780700,7.0137,8558.65
61,Argentina,1997,293000000000,2184,32333781,6.7545,9061.73
62,Argentina,1998,299000000000,2347,32757259,7.1648,9127.75
63,Argentina,1999,284000000000,2423,33174862,7.3037,8560.7
64,Argentina,2000,284000000000,2774,33585533,8.2595,8456.02
65,Argentina,2001,269000000000,3132,34010946,9.2088,7909.22
66,Argentina,2002,97724004252,3162,34407507,9.1899,2840.19
67,Argentina,2003,128000000000,3289,34785907,9.455,3679.65
68,Argentina,2004,165000000000,3121,35162945,8.8758,4692.44
69,Argentina,2005,199000000000,3058,35550617,8.6018,5597.65
70,Argentina,2006,233000000000,3108,35918886,8.6528,6486.84
71,Argentina,2007,288000000000,2946,36315492,8.1122,7930.5
72,Argentina,2008,362000000000,3059,36733520,8.3275,9854.76
73,Argentina,2009,333000000000,2884,37158001,7.7615,8961.73
74,Argentina,2010,424000000000,2943,37578454,7.8316,11283.06
75,Argentina,2011,530000000000,2912,38015739,7.66,13941.59
76,Argentina,2012,546000000000,3248,38441778,8.4491,14203.3
77,Argentina,2013,552000000000,2987,38859125,7.6867,14205.16
78,Argentina,2014,526000000000,3231,39276555,8.2263,13392.21
79,Argentina,2015,595000000000,3073,39699624,7.7406,14987.55
80,Armenia,1990,2256838858,93,2983700,3.1169,756.39
81,Armenia,1991,2068526522,80,3230800,2.4762,640.25
82,Armenia,1992,1272577456,83,3308700,2.5085,384.62
83,Armenia,1993,1201313201,106,3366600,3.1486,356.83
84,Armenia,1994,1315158670,112,3402500,3.2917,386.53
85,Armenia,1995,1468317350,130,3443200,3.7756,426.44
86,Armenia,1996,1596968913,87,3486300,2.4955,458.07
87,Armenia,1997,1639492424,77,3526700,2.1833,464.88
88,Armenia,1998,1893726437,66,3558000,1.855,532.24
89,Armenia,1999,1845482181,67,3580700,1.8711,515.4
90,Armenia,2000,1911563665,61,3606500,1.6914,530.03
91,Armenia,2001,2118467913,60,3610516,1.6618,586.75
92,Armenia,2002,2376335048,74,3014844,2.4545,788.21
93,Armenia,2003,2807061009,59,3024366,1.9508,928.15
94,Armenia,2006,6384451606,78,2764396,2.8216,2309.53
95,Armenia,2007,9206301700,71,2735313,2.5957,3365.72
96,Armenia,2008,11662040714,63,3045391,2.0687,3829.41
97,Armenia,2009,8647936748,53,2689695,1.9705,3215.21
98,Armenia,2010,9260284938,73,2676225,2.7277,3460.2
99,Armenia,2011,10142111334,67,2670366,2.509,3798.02
100,Armenia,2012,10619320049,79,2814300,2.8071,3773.34
101,Armenia,2013,11121465767,67,2810664,2.3838,3956.88
102,Armenia,2014,11609512940,58,2803029,2.0692,4141.77
103,Armenia,2015,10553337673,74,2795335,2.6473,3775.34
104,Armenia,2016,10546135160,67,2400033,2.7916,4394.16
105,Aruba,1995,1320670391,8,73581,10.8724,17948.52
106,Aruba,1999,1722798883,9,81934,10.9845,21026.67
107,Aruba,2000,1873452514,10,83888,11.9207,22332.78
108,Aruba,2001,1920262570,4,86045,4.6487,22316.96
109,Aruba,2002,1941094972,9,88284,10.1944,21986.94
110,Aruba,2003,2021301676,2,90457,2.211,22345.44
111,Aruba,2004,2228279330,8,92335,8.6641,24132.55
112,Aruba,2005,2331005587,10,93728,10.6692,24869.9
113,Aruba,2006,2421474860,9,94508,9.523,25621.9
114,Aruba,2007,2623726257,8,94814,8.4376,27672.35
115,Aruba,2008,2791960894,4,94814,4.2188,29446.72
116,Aruba,2009,2498932961,4,94795,4.2196,26361.44
117,Aruba,2010,2467703911,7,95006,7.368,25974.19
118,Aruba,2011,2584463687,9,95488,9.4253,27065.85
119,Australia,1985,180000000000,1861,14562500,12.7794,12360.52
120,Australia,1986,182000000000,2044,14809800,13.8017,12289.16
121,Australia,1987,189000000000,2164,15046500,14.3821,12561.06
122,Australia,1988,236000000000,2172,15312100,14.1849,15412.65
123,Australia,1989,299000000000,2066,15570600,13.2686,19202.86
124,Australia,1990,311000000000,2202,15807000,13.9305,19674.83
125,Australia,1991,325000000000,2288,16012100,14.2892,20297.15
126,Australia,1992,325000000000,2251,16203500,13.8921,20057.4
127,Australia,1993,312000000000,2038,16370000,12.4496,19059.25
128,Australia,1994,322000000000,2283,16549400,13.7951,19456.9
129,Australia,1995,367000000000,2170,16766300,12.9426,21889.15
130,Australia,1996,400000000000,2426,17015100,14.2579,23508.53
131,Australia,1997,435000000000,2646,17221300,15.3647,25259.42
132,Australia,1998,399000000000,2632,17421730,15.1076,22902.43
133,Australia,1999,388000000000,2488,17641702,14.1029,21993.34
134,Australia,2000,415000000000,2391,17874410,13.3767,23217.55
135,Australia,2001,378000000000,2458,18130883,13.557,20848.41
136,Australia,2002,394000000000,2319,18370058,12.6238,21447.95
137,Australia,2003,466000000000,2156,18608029,11.5864,25042.95
138,Australia,2004,612000000000,2114,18854551,11.2121,32459.01
139,Australia,2006,746000000000,2117,19109246,11.0784,39038.69
140,Australia,2007,852000000000,2229,19734430,11.295,43173.28
141,Australia,2008,1050000000000,2341,20120312,11.635,52186.07
142,Australia,2009,926000000000,2337,20529317,11.3837,45106.23
143,Australia,2010,1140000000000,2420,20847547,11.6081,54682.69
144,Australia,2011,1390000000000,2392,20881910,11.4549,66564.79
145,Australia,2012,1540000000000,2580,21238909,12.1475,72508.43
146,Australia,2013,1570000000000,2608,21600180,12.074,72684.58
147,Australia,2014,1460000000000,2891,21927587,13.1843,66582.79
148,Australia,2015,1350000000000,3027,22240785,13.6101,60699.3
149,Austria,1985,69386774475,2091,7110115,29.4088,9758.88
150,Austria,1986,99036165210,2139,7119149,30.0457,13911.24
151,Austria,1987,124000000000,2069,7130006,29.0182,17391.29
152,Austria,1988,133000000000,1851,7144410,25.9084,18615.95
153,Austria,1989,133000000000,1898,7177666,26.4431,18529.7
154,Austria,1990,166000000000,1825,7231353,25.2373,22955.59
155,Austria,1991,174000000000,1769,7299728,24.2338,23836.5
156,Austria,1992,195000000000,1759,7375368,23.8497,26439.36
157,Austria,1993,190000000000,1704,7433569,22.923,25559.73
158,Austria,1994,204000000000,1776,7462552,23.7988,27336.49
159,Austria,1995,241000000000,1788,7477030,23.9132,32232.05
160,Austria,1996,237000000000,1779,7493706,23.7399,31626.54
161,Austria,1997,213000000000,1592,7512589,21.1911,28352.41
162,Austria,1998,218000000000,1559,7533519,20.6942,28937.34
163,Austria,1999,217000000000,1555,7561609,20.5644,28697.6
164,Austria,2000,197000000000,1588,7592073,20.9166,25948.12
165,Austria,2001,197000000000,1489,7634560,19.5034,25803.71
166,Austria,2002,213000000000,1553,7683162,20.213,27722.96
167,Austria,2003,262000000000,1456,7722033,18.8551,33928.89
168,Austria,2004,301000000000,1422,7773105,18.2938,38723.26
169,Austria,2005,316000000000,1399,7827461,17.873,40370.69
170,Austria,2006,336000000000,1297,7869269,16.4818,42697.74
171,Austria,2007,389000000000,1285,7897272,16.2714,49257.52
172,Austria,2008,430000000000,1267,7925258,15.9869,54256.91
173,Austria,2009,400000000000,1278,7946894,16.0818,50334.13
174,Austria,2010,392000000000,1264,7968421,15.8626,49194.19
175,Austria,2011,431000000000,1288,7995146,16.1098,53907.71
176,Austria,2012,409000000000,1276,8031276,15.8879,50925.91
177,Austria,2013,430000000000,1291,8079615,15.9785,53220.36
178,Austria,2014,442000000000,1314,8141165,16.1402,54291.98
179,Austria,2015,382000000000,1251,8219386,15.2201,46475.49
180,Austria,2016,391000000000,1201,7484629,16.0462,52240.4
181,Azerbaijan,1990,8858006036,114,6156800,1.8516,1438.74
182,Azerbaijan,1991,8792365811,134,6290600,2.1302,1397.7
183,Azerbaijan,1992,4991350458,144,6370400,2.2605,783.52
184,Azerbaijan,1993,3973027397,119,6442600,1.8471,616.68
185,Azerbaijan,1994,3313739674,47,6521200,0.7207,508.15
186,Azerbaijan,1995,3052467522,49,6605900,0.7418,462.08
187,Azerbaijan,1996,3176749593,69,6668100,1.0348,476.41
188,Azerbaijan,1997,3962710163,107,6711200,1.5943,590.46
189,Azerbaijan,1998,4446396218,56,7044400,0.795,631.2
190,Azerbaijan,1999,4581222442,54,7106400,0.7599,644.66
191,Azerbaijan,2000,5272617196,62,7415250,0.8361,711.05
192,Azerbaijan,2001,5707720391,317,7518000,4.2165,759.21
193,Azerbaijan,2002,6235795104,92,7605700,1.2096,819.88
194,Azerbaijan,2003,7276013032,129,7674400,1.6809,948.09
195,Azerbaijan,2004,8680472169,108,7738250,1.3957,1121.76
196,Azerbaijan,2007,33050343783,55,7921100,0.6943,4172.44
197,Bahrain,1985,3651861702,11,365900,3.0063,9980.49
198,Bahrain,1987,3392021011,9,363900,2.4732,9321.3
199,Bahrain,1988,3702393617,14,389700,3.5925,9500.63
200,Bahrain,1997,6349202394,0,529754,0.0,11985.19
201,Bahrain,1998,6183776596,0,546008,0.0,11325.43
202,Bahrain,1999,6621010372,17,565762,3.0048,11702.82
203,Bahrain,2000,9062906915,29,590594,4.9103,15345.41
204,Bahrain,2001,8976207713,23,624083,3.6854,14383.04
205,Bahrain,2002,9632155053,25,661010,3.7821,14571.87
206,Bahrain,2003,11074822074,34,702913,4.837,15755.61
207,Bahrain,2004,13150166755,42,751559,5.5884,17497.18
208,Bahrain,2005,15968726862,42,819540,5.1248,19484.99
209,Bahrain,2006,18505053191,28,888543,3.1512,20826.29
210,Bahrain,2007,21730000000,40,964770,4.1461,22523.5
